,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_month,journey_day,journey_dow,dep_hour,arr_hour,duration_mins,n_stops,has_meal,no_checkin,business_cls,red_eye,dep_period,is_weekend
401,GoAir,2019-03-09,Banglore,New Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,7631.0,3.0,9.0,5.0,7.0,10.0,175.0,0.0,0,0,0,0,Morning,1
402,Air India,2019-06-06,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 07 Jun,24h 50m,2 stops,No info,13381.0,6.0,6.0,3.0,6.0,7.0,1490.0,2.0,0,0,0,0,Morning,0
403,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 07 Jun,8h 40m,1 stop,No info,13731.0,6.0,6.0,3.0,20.0,4.0,520.0,1.0,0,0,0,0,Evening,0
404,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,07:40 22 May,25h 45m,2 stops,No info,11911.0,5.0,21.0,1.0,5.0,7.0,1545.0,2.0,0,0,0,0,Morning,0
406,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,14848.0,6.0,3.0,0.0,13.0,19.0,375.0,1.0,0,0,0,0,Afternoon,0
407,Multiple carriers,,Delhi,Cochin,DEL → BOM → COK,08:45,19:15,10h 30m,1 stop,No info,8266.0,5.0,12.0,3.0,8.0,19.0,630.0,1.0,0,0,0,0,Morning,0
408,Air India,2019-05-18,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 19 May,26h,2 stops,No info,12392.0,5.0,18.0,5.0,17.0,19.0,1560.0,2.0,0,0,0,0,Evening,1
409,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 13 Jun,17h 5m,1 stop,No info,13044.0,6.0,12.0,2.0,18.0,12.0,1025.0,1.0,0,0,0,0,Evening,0
411,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 22 Mar,5h 35m,1 stop,No info,12242.0,3.0,21.0,3.0,22.0,4.0,335.0,1.0,0,0,0,0,Night,0
413,Vistara,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,20:20,22:10 25 Mar,25h 50m,1 stop,No info,11105.0,3.0,24.0,6.0,20.0,22.0,1550.0,1.0,0,0,0,0,Evening,1
414,Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 13 May,12h 10m,1 stop,No info,14388.0,5.0,12.0,6.0,21.0,9.0,730.0,1.0,0,0,0,0,Night,1
415,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 19 May,17h 5m,2 stops,No info,13014.0,5.0,18.0,5.0,19.0,12.0,1025.0,2.0,0,0,0,0,Evening,1
416,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,10:20,18:50,8h 30m,1 stop,No info,15411.0,3.0,6.0,2.0,10.0,18.0,510.0,1.0,0,0,0,0,Morning,0
417,Jet Airways,2019-03-09,Delhi,Cochin,DEL → BOM → COK,19:45,18:50 10 Mar,23h 5m,1 stop,No info,16289.0,3.0,9.0,5.0,19.0,18.0,1385.0,1.0,0,0,0,0,Evening,1
419,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10844.0,5.0,18.0,5.0,8.0,16.0,475.0,1.0,1,0,0,0,Morning,1
420,Jet Airways,2019-05-18,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,5678.0,5.0,18.0,5.0,10.0,11.0,90.0,0.0,0,0,0,0,Morning,1
421,IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,23:30,02:20 13 Apr,2h 50m,non-stop,No info,6906.0,4.0,12.0,4.0,23.0,2.0,170.0,0.0,0,0,0,0,Night,0
422,SpiceJet,2019-05-21,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543.0,5.0,21.0,1.0,9.0,12.0,135.0,0.0,0,1,0,0,Morning,0
423,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,14714.0,6.0,6.0,3.0,9.0,19.0,600.0,1.0,0,0,0,0,Morning,0
424,Multiple carriers,2019-05-15,Delhi,Cochin,,11:30,19:15,7h 45m,1 stop,No info,14323.0,5.0,15.0,2.0,11.0,19.0,465.0,1.0,0,0,0,0,Morning,0
426,Vistara,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,20:20,22:40 07 May,26h 20m,1 stop,No info,8452.0,5.0,6.0,0.0,20.0,22.0,1580.0,1.0,0,0,0,0,Evening,0
427,Vistara,,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,5403.0,5.0,12.0,3.0,7.0,9.0,160.0,0.0,0,0,0,0,Morning,0
428,Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,13727.0,5.0,9.0,3.0,10.0,21.0,660.0,1.0,0,0,0,0,Morning,0
429,Air India,2019-04-01,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 02 Apr,19h 25m,2 stops,No info,12639.0,4.0,1.0,0.0,10.0,5.0,1165.0,2.0,0,0,0,0,Morning,0
430,Jet Airways,2019-04-18,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,5198.0,4.0,18.0,3.0,15.0,18.0,175.0,0.0,1,0,0,0,Afternoon,0
431,Vistara,2019-06-01,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,4878.0,6.0,1.0,5.0,19.0,22.0,165.0,0.0,0,0,0,0,Evening,1
432,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 19 May,23h 15m,1 stop,In-flight meal not included,12373.0,5.0,18.0,5.0,19.0,19.0,1395.0,1.0,1,0,0,0,Evening,1
434,Vistara,2019-04-21,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6741.0,4.0,21.0,6.0,14.0,17.0,190.0,0.0,0,0,0,0,Afternoon,1
435,Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,6481.0,4.0,9.0,1.0,12.0,19.0,385.0,1.0,0,0,0,0,Afternoon,0
436,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,7354.0,6.0,6.0,3.0,10.0,19.0,520.0,1.0,0,0,0,0,Morning,0
437,Air India,2019-04-21,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,,5228.0,4.0,21.0,6.0,21.0,23.0,170.0,0.0,0,0,0,0,Night,1
439,IndiGo,2019-05-18,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,6347.0,5.0,18.0,5.0,6.0,12.0,320.0,1.0,0,0,0,0,Morning,1
440,Air India,2019-03-15,Banglore,New Delhi,BLR → HYD → DEL,08:15,12:15,4h,1 stop,No info,5013.0,3.0,15.0,4.0,8.0,12.0,240.0,1.0,0,0,0,0,Morning,0
442,IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,4823.0,4.0,6.0,5.0,18.0,21.0,175.0,0.0,0,0,0,0,Evening,1
443,Air India,2019-06-24,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 25 Jun,26h 20m,2 stops,No info,13381.0,6.0,24.0,0.0,16.0,19.0,1580.0,2.0,0,0,0,0,Afternoon,0
444,SpiceJet,2019-06-01,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543.0,6.0,1.0,5.0,9.0,12.0,135.0,0.0,0,1,0,0,Morning,1
445,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 16 May,9h 45m,1 stop,In-flight meal not included,9663.0,5.0,15.0,2.0,18.0,4.0,585.0,1.0,1,0,0,0,Evening,0
446,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,18:55,19:50 02 Apr,24h 55m,1 stop,In-flight meal not included,7064.0,4.0,1.0,0.0,18.0,19.0,1495.0,1.0,1,0,0,0,Evening,0
447,Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,10262.0,6.0,9.0,6.0,7.0,19.0,715.0,1.0,1,0,0,0,Morning,1
449,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,12:35 28 Jun,17h 25m,2 stops,No info,15339.0,6.0,27.0,3.0,19.0,12.0,1045.0,2.0,0,0,0,0,Evening,0
450,GoAir,2019-04-18,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,4937.0,4.0,18.0,3.0,11.0,14.0,170.0,0.0,0,0,0,0,Morning,0
451,IndiGo,2019-06-06,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6818.0,6.0,6.0,3.0,5.0,12.0,425.0,1.0,0,0,0,0,Morning,0
452,Air India,2019-05-18,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 19 May,21h 15m,2 stops,No info,10441.0,5.0,18.0,5.0,22.0,19.0,1275.0,2.0,0,0,0,0,Night,1
454,IndiGo,2019-06-27,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858.0,6.0,27.0,3.0,11.0,14.0,145.0,0.0,0,0,0,0,Morning,0
455,IndiGo,2019-05-18,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 19 May,5h 15m,1 stop,No info,6534.0,5.0,18.0,5.0,21.0,2.0,315.0,1.0,0,0,0,0,Night,1
456,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,10:20,01:30 16 Jun,15h 10m,1 stop,No info,6795.0,6.0,15.0,5.0,10.0,1.0,910.0,1.0,0,0,0,0,Morning,1
457,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,,9736.0,6.0,3.0,0.0,7.0,19.0,705.0,1.0,0,0,0,0,Morning,0
458,Jet Airways,2019-05-01,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,7229.0,5.0,1.0,2.0,19.0,22.0,180.0,0.0,0,0,0,0,Evening,0
459,SpiceJet,2019-04-24,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,4957.0,4.0,24.0,2.0,17.0,22.0,295.0,1.0,0,0,0,0,Evening,0
460,IndiGo,2019-03-09,Banglore,New Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,7648.0,3.0,9.0,5.0,6.0,8.0,165.0,0.0,0,0,0,0,Morning,1
461,SpiceJet,2019-06-15,Kolkata,Banglore,CCU → BLR,14:55,17:25,2h 30m,non-stop,No info,3873.0,6.0,15.0,5.0,14.0,17.0,150.0,0.0,0,0,0,0,Afternoon,1
462,Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 13 May,9h 45m,1 stop,No info,14388.0,5.0,12.0,6.0,18.0,4.0,585.0,1.0,0,0,0,0,Evening,1
463,IndiGo,2019-03-06,Kolkata,Banglore,CCU → BLR,17:15,19:55,2h 40m,non-stop,No info,5618.0,3.0,6.0,2.0,17.0,19.0,160.0,0.0,0,0,0,0,Evening,0
464,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 10 Jun,6h 30m,1 stop,No info,7408.0,6.0,9.0,6.0,19.0,1.0,390.0,1.0,0,0,0,0,Evening,1
466,Vistara,2019-05-03,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668.0,5.0,3.0,4.0,7.0,9.0,160.0,0.0,0,0,0,0,Morning,0
467,Jet Airways,2019-03-21,Delhi,Cochin,DEL → UDR → BOM → COK,18:20,04:25 23 Mar,34h 5m,2 stops,No info,13082.0,3.0,21.0,3.0,18.0,4.0,2045.0,2.0,0,0,0,0,Evening,0
468,Air India,2019-06-03,Delhi,Cochin,DEL → BOM → COK,03:50,19:15,15h 25m,1 stop,No info,8669.0,6.0,3.0,0.0,3.0,19.0,925.0,1.0,0,0,0,0,Night,0
469,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 25 Jun,9h 30m,1 stop,No info,6316.0,6.0,24.0,0.0,16.0,1.0,570.0,1.0,0,0,0,0,Afternoon,0
470,Jet Airways,,Delhi,Cochin,DEL → BOM → COK,22:20,04:25 07 Mar,6h 5m,1 stop,In-flight meal not included,12583.0,5.0,12.0,3.0,22.0,4.0,365.0,1.0,1,0,0,0,Night,0
471,Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,16:10,18:50,2h 40m,non-stop,No info,7923.0,3.0,9.0,5.0,16.0,18.0,160.0,0.0,0,0,0,0,Afternoon,1
472,GoAir,2019-03-03,Delhi,Cochin,DEL → BOM → COK,07:00,12:50,5h 50m,1 stop,No info,7378.0,3.0,3.0,6.0,7.0,12.0,350.0,1.0,0,0,0,0,Morning,1
473,Vistara,2019-06-03,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,4878.0,6.0,3.0,0.0,19.0,22.0,165.0,0.0,0,0,0,0,Evening,0
474,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50 19 May,27h 20m,1 stop,In-flight meal not included,10844.0,5.0,18.0,5.0,16.0,19.0,1640.0,1.0,1,0,0,0,Afternoon,1
475,Jet Airways,2019-04-03,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229.0,4.0,3.0,2.0,8.0,11.0,180.0,0.0,0,0,0,0,Morning,0
476,SpiceJet,2019-05-21,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,6297.0,5.0,21.0,1.0,6.0,11.0,315.0,1.0,0,0,0,0,Morning,0
479,SpiceJet,2019-05-24,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6643.0,5.0,24.0,4.0,8.0,17.0,520.0,1.0,0,0,0,0,Morning,0
481,SpiceJet,2019-04-21,Kolkata,Banglore,CCU → BLR,22:20,,2h 20m,non-stop,No info,4911.0,4.0,21.0,6.0,22.0,13.0,140.0,0.0,0,0,0,0,Night,1
483,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6h 20m,1 stop,No info,26890.0,3.0,1.0,4.0,8.0,15.0,380.0,1.0,0,0,0,0,Morning,0
484,IndiGo,2019-05-18,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,3717.0,5.0,18.0,5.0,19.0,23.0,265.0,1.0,0,0,0,0,Evening,1
485,IndiGo,2019-06-01,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597.0,6.0,1.0,5.0,13.0,15.0,140.0,0.0,0,0,0,0,Afternoon,1
487,Air India,2019-03-01,Banglore,New Delhi,BLR → CCU → DEL,05:50,22:45,16h 55m,1 stop,No info,14069.0,3.0,1.0,4.0,5.0,22.0,1015.0,1.0,0,0,0,0,Morning,0
488,Jet Airways,2019-04-01,Delhi,Cochin,DEL → BOM → COK,22:50,,13h 45m,1 stop,In-flight meal not included,5177.0,4.0,1.0,0.0,22.0,13.0,825.0,1.0,1,0,0,0,Night,0
489,Air India,2019-03-06,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,07:40 07 Mar,25h 45m,2 stops,No info,14641.0,3.0,6.0,2.0,5.0,7.0,1545.0,2.0,0,0,0,0,Morning,0
490,IndiGo,2019-06-06,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,6442.0,6.0,6.0,3.0,8.0,22.0,835.0,1.0,0,0,0,0,Morning,0
491,Air India,2019-03-21,Delhi,Cochin,DEL → BLR → COK,17:45,23:00,5h 15m,1 stop,No info,5704.0,3.0,21.0,3.0,17.0,23.0,315.0,1.0,0,0,0,0,Evening,0
492,Jet Airways,2019-05-06,Kolkata,Banglore,,14:05,09:20 07 May,19h 15m,1 stop,In-flight meal not included,9663.0,5.0,6.0,0.0,14.0,9.0,1155.0,1.0,1,0,0,0,Afternoon,0
494,Jet Airways,2019-04-01,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,In-flight meal not included,5406.0,4.0,1.0,0.0,10.0,19.0,540.0,1.0,1,0,0,0,Morning,0
495,Vistara,2019-05-15,Kolkata,Banglore,,20:20,20:20 16 May,24h,1 stop,No info,8610.0,5.0,15.0,2.0,20.0,20.0,1440.0,1.0,0,0,0,0,Evening,0
496,Jet Airways,2019-06-12,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,12:35 13 Jun,18h 10m,2 stops,No info,14237.0,6.0,12.0,2.0,18.0,12.0,1090.0,2.0,0,0,0,0,Evening,0
499,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05,04:25 19 May,21h 20m,1 stop,In-flight meal not included,12373.0,5.0,18.0,5.0,7.0,4.0,1280.0,1.0,1,0,0,0,Morning,1
500,Air India,2019-06-06,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372.0,6.0,6.0,3.0,13.0,19.0,375.0,1.0,0,0,0,0,Afternoon,0
501,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,13:55,04:25 04 Mar,14h 30m,1 stop,No info,17024.0,3.0,3.0,6.0,13.0,4.0,870.0,1.0,0,0,0,0,Afternoon,1
502,Air India,2019-05-27,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,3100.0,5.0,27.0,0.0,21.0,22.0,80.0,0.0,0,0,0,0,Night,0
503,Jet Airways,2019-03-09,Delhi,Cochin,DEL → BOM → COK,06:50,19:45,12h 55m,1 stop,In-flight meal not included,14053.0,3.0,9.0,5.0,6.0,19.0,775.0,1.0,1,0,0,0,Morning,1
504,IndiGo,2019-05-09,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,5.0,9.0,3.0,5.0,7.0,145.0,0.0,0,0,0,0,Morning,0
505,Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,20:20,18:50 22 May,22h 30m,1 stop,No info,9345.0,5.0,21.0,1.0,20.0,18.0,1350.0,1.0,0,0,0,0,Evening,0
506,Jet Airways,2019-06-01,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 02 Jun,22h 55m,2 stops,In-flight meal not included,10368.0,6.0,1.0,5.0,5.0,4.0,1375.0,2.0,1,0,0,0,Morning,1
507,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,07:00,12:25,5h 25m,1 stop,No info,26890.0,3.0,1.0,4.0,7.0,12.0,325.0,1.0,0,0,0,0,Morning,0
508,SpiceJet,2019-03-09,Mumbai,Hyderabad,BOM → HYD,08:50,10:15,1h 25m,non-stop,No info,5755.0,3.0,9.0,5.0,8.0,10.0,85.0,0.0,0,0,0,0,Morning,1
509,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,08:55,16:10,7h 15m,1 stop,In-flight meal not included,7832.0,3.0,21.0,3.0,8.0,16.0,435.0,1.0,1,0,0,0,Morning,0
510,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14388.0,5.0,6.0,0.0,8.0,20.0,740.0,1.0,0,0,0,0,Morning,0
511,Air India,2019-06-27,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 28 Jun,20h 10m,2 stops,No info,8839.0,6.0,27.0,3.0,13.0,9.0,1210.0,2.0,0,0,0,0,Afternoon,0
513,Vistara,,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,5.0,12.0,3.0,7.0,9.0,135.0,0.0,0,0,0,0,Morning,0
516,IndiGo,2019-04-27,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423.0,4.0,27.0,5.0,4.0,6.0,170.0,0.0,0,0,0,0,Night,1
517,IndiGo,2019-03-03,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16h 25m,2 stops,,8899.0,3.0,3.0,6.0,4.0,21.0,985.0,2.0,0,0,0,0,Night,1
518,SpiceJet,2019-04-21,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5583.0,4.0,21.0,6.0,6.0,11.0,315.0,1.0,0,0,0,0,Morning,1
519,Air Asia,2019-05-27,Delhi,Cochin,DEL → BLR → COK,16:45,06:35 28 May,13h 50m,1 stop,No info,6752.0,5.0,27.0,0.0,16.0,6.0,830.0,1.0,0,0,0,0,Afternoon,0
521,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,08:00,15:15,7h 15m,1 stop,In-flight meal not included,7832.0,3.0,21.0,3.0,8.0,15.0,435.0,1.0,1,0,0,0,Morning,0
522,Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55 02 May,27h 5m,2 stops,No info,10991.0,5.0,1.0,2.0,5.0,8.0,1625.0,2.0,0,0,0,0,Morning,0
524,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,12898.0,5.0,27.0,0.0,14.0,19.0,300.0,1.0,1,0,0,0,Afternoon,0
525,GoAir,2019-05-24,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3398.0,5.0,24.0,4.0,11.0,14.0,170.0,0.0,0,0,0,0,Morning,0
527,Air India,2019-05-06,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,01:20 07 May,15h 20m,2 stops,No info,13873.0,5.0,6.0,0.0,10.0,1.0,920.0,2.0,0,0,0,0,Morning,0
528,Air India,2019-06-15,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,5h 20m,1 stop,No info,7384.0,6.0,15.0,5.0,17.0,23.0,320.0,1.0,0,0,0,0,Evening,1
529,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Jun,10h 10m,1 stop,In-flight meal not included,10262.0,6.0,6.0,3.0,18.0,4.0,610.0,1.0,1,0,0,0,Evening,0
530,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,08:25,12:00 25 Mar,27h 35m,1 stop,In-flight meal not included,10031.0,3.0,24.0,6.0,8.0,12.0,1655.0,1.0,1,0,0,0,Morning,1
531,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,12384.0,5.0,6.0,0.0,9.0,19.0,575.0,1.0,1,0,0,0,Morning,0
532,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,14:05,18:15 10 May,28h 10m,1 stop,In-flight meal not included,7757.0,5.0,9.0,3.0,14.0,18.0,1690.0,1.0,1,0,0,0,Afternoon,0
533,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,21:25,11:25 07 Mar,14h,1 stop,No info,17261.0,3.0,6.0,2.0,21.0,11.0,840.0,1.0,0,0,0,0,Night,0
534,SpiceJet,2019-03-01,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No info,7298.0,3.0,1.0,4.0,9.0,12.0,155.0,0.0,0,0,0,0,Morning,0
535,Jet Airways,2019-04-06,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229.0,4.0,6.0,5.0,15.0,18.0,175.0,0.0,0,0,0,0,Afternoon,1
536,IndiGo,2019-04-01,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4174.0,4.0,1.0,0.0,4.0,7.0,155.0,0.0,0,0,0,0,Night,0
539,Air India,2019-03-06,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,15284.0,3.0,6.0,2.0,8.0,19.0,675.0,1.0,0,0,0,0,Morning,0
540,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,No info,13759.0,3.0,24.0,6.0,8.0,16.0,475.0,1.0,0,0,0,0,Morning,1
541,Vistara,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,09:55,18:45,8h 50m,1 stop,No info,16092.0,3.0,24.0,6.0,9.0,18.0,530.0,1.0,0,0,0,0,Morning,1
542,IndiGo,,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,4392.0,5.0,12.0,3.0,6.0,7.0,85.0,0.0,0,0,0,0,Morning,0
544,SpiceJet,2019-06-12,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841.0,6.0,12.0,2.0,6.0,9.0,155.0,0.0,0,1,0,0,Morning,0
545,GoAir,2019-06-01,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,5048.0,6.0,1.0,5.0,7.0,10.0,175.0,0.0,0,0,0,0,Morning,1
546,Air India,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,07:00,20:25,13h 25m,1 stop,No info,11096.0,5.0,21.0,1.0,7.0,20.0,805.0,1.0,0,0,0,0,Morning,0
548,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,09:55,04:25 04 Mar,18h 30m,1 stop,No info,19828.0,3.0,3.0,6.0,9.0,4.0,1110.0,1.0,0,0,0,0,Morning,1
550,Air India,2019-03-09,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 10 Mar,38h 15m,2 stops,No info,10598.0,3.0,9.0,5.0,5.0,19.0,2295.0,2.0,0,0,0,0,Morning,1
551,Jet Airways,2019-06-15,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,7229.0,6.0,15.0,5.0,18.0,22.0,185.0,0.0,1,0,0,0,Evening,1
553,Vistara,2019-05-09,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216.0,5.0,9.0,3.0,14.0,17.0,190.0,0.0,0,0,0,0,Afternoon,0
554,Air India,2019-06-09,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6961.0,6.0,9.0,6.0,13.0,16.0,170.0,0.0,0,0,0,0,Afternoon,1
555,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,10703.0,5.0,6.0,0.0,9.0,21.0,690.0,1.0,1,0,0,0,Morning,0
556,Jet Airways,,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,14151.0,5.0,12.0,3.0,17.0,23.0,395.0,1.0,0,0,0,0,Evening,0
557,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,06:30,10:05 10 May,27h 35m,1 stop,,8586.0,5.0,9.0,3.0,6.0,10.0,1655.0,1.0,0,0,0,0,Morning,0
558,IndiGo,2019-04-12,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4488.0,4.0,12.0,4.0,20.0,22.0,155.0,0.0,0,0,0,0,Evening,0
559,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 16 Jun,7h 30m,1 stop,No info,7408.0,6.0,15.0,5.0,18.0,1.0,450.0,1.0,0,0,0,0,Evening,1
